Designator,Mid X,Mid Y,Rotation,Layer
S31,124.564,-134.822,0.0,bottom
S32,143.614,-134.822,0.0,bottom
S33,162.664,-134.822,0.0,bottom
S34,181.714,-134.822,0.0,bottom
S35,200.764,-134.822,0.0,bottom
S36,219.814,-134.822,0.0,bottom
S37,238.864,-134.822,0.0,bottom
S38,257.914,-134.822,0.0,bottom
S39,276.964,-134.822,0.0,bottom
S4,129.3265,-96.722,0.0,bottom
S40,296.014,-134.822,0.0,bottom
S41,326.97025,-134.822,0.0,bottom
S42,84.08,-153.87,0.0,bottom
S43,115.039,-153.872,0.0,bottom
S44,134.089,-153.872,0.0,bottom
S45,153.139,-153.872,0.0,bottom
S46,172.189,-153.872,0.0,bottom
S47,191.239,-153.872,0.0,bottom
S48,210.289,-153.872,0.0,bottom
S49,229.339,-153.872,0.0,bottom
S5,148.3765,-96.722,0.0,bottom
S50,248.389,-153.872,0.0,bottom
S51,267.439,-153.872,0.0,bottom
S52,286.489,-153.872,0.0,bottom
S53,322.2522,-153.872,0.0,bottom
S54,74.55775,-172.922,0.0,bottom
S55,98.37025,-172.922,0.0,bottom
S56,122.18275,-172.922,0.0,bottom
S57,193.6189,-172.934,0.0,bottom
S58,265.05775,-172.922,0.0,bottom
S59,288.87025,-172.922,0.0,bottom
S6,167.4265,-96.722,0.0,bottom
S60,312.68275,-172.922,0.0,bottom
S61,336.49525,-172.922,0.0,bottom
S7,186.4765,-96.722,0.0,bottom
S8,205.5265,-96.722,0.0,bottom
S9,224.5765,-96.722,0.0,bottom
U2,62.951,-103.655,180.0,bottom
Y1,346.8371,-103.5015,0.0,bottom
Y2,336.200836,-100.5,0.0,bottom
