Designator,Mid X,Mid Y,Rotation,Layer
S8,103.783,-135.34136,0.0,bottom
S9,96.63925,-173.44136,0.0,bottom
SHPHLD,167.12,-169.5,0.0,top
U1,224.02,-175.0,180.0,bottom
U2,138.02,-174.0,0.0,bottom
VBAT,152.77,-168.4,270.0,top
VBUS,298.12,-151.5,180.0,bottom
VDD,175.97,-175.25,0.0,bottom
Y1,228.707,-180.937,0.0,bottom
Y2,218.12,-178.425,0.0,bottom
